Mar. 29, 2018   10:26:03
Chronopotentiometry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.1338
Anodic Current (A) = 0.1338
Init P/N = N
Data Storage Interval (s) = 0.001
High E Limit (V) = 0
Low E Limit (V) = -1
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-3, -8.563e-1
2.000e-3, -8.556e-1
3.000e-3, -8.557e-1
4.000e-3, -8.589e-1
5.000e-3, -8.629e-1
6.000e-3, -8.670e-1
7.000e-3, -8.710e-1
8.000e-3, -8.749e-1
9.000e-3, -8.785e-1
1.000e-2, -8.821e-1
1.100e-2, -8.854e-1
1.200e-2, -8.887e-1
1.300e-2, -8.918e-1
1.400e-2, -8.948e-1
1.500e-2, -8.977e-1
1.600e-2, -9.006e-1
1.700e-2, -9.033e-1
1.800e-2, -9.060e-1
1.900e-2, -9.085e-1
2.000e-2, -9.110e-1
2.100e-2, -9.135e-1
2.200e-2, -9.159e-1
2.300e-2, -9.183e-1
2.400e-2, -9.205e-1
2.500e-2, -9.228e-1
2.600e-2, -9.249e-1
2.700e-2, -9.272e-1
2.800e-2, -9.292e-1
2.900e-2, -9.313e-1
3.000e-2, -9.333e-1
3.100e-2, -9.353e-1
3.200e-2, -9.373e-1
3.300e-2, -9.392e-1
3.400e-2, -9.411e-1
3.500e-2, -9.429e-1
3.600e-2, -9.447e-1
3.700e-2, -9.465e-1
3.800e-2, -9.483e-1
3.900e-2, -9.500e-1
4.000e-2, -9.517e-1
4.100e-2, -9.534e-1
4.200e-2, -9.551e-1
4.300e-2, -9.567e-1
4.400e-2, -9.584e-1
4.500e-2, -9.600e-1
4.600e-2, -9.615e-1
4.700e-2, -9.631e-1
4.800e-2, -9.646e-1
4.900e-2, -9.662e-1
5.000e-2, -9.676e-1
5.100e-2, -9.691e-1
5.200e-2, -9.706e-1
5.300e-2, -9.720e-1
5.400e-2, -9.734e-1
5.500e-2, -9.749e-1
5.600e-2, -9.763e-1
5.700e-2, -9.777e-1
5.800e-2, -9.791e-1
5.900e-2, -9.804e-1
6.000e-2, -9.818e-1
6.100e-2, -9.831e-1
6.200e-2, -9.844e-1
6.300e-2, -9.857e-1
6.400e-2, -9.870e-1
6.500e-2, -9.883e-1
6.600e-2, -9.896e-1
6.700e-2, -9.908e-1
6.800e-2, -9.921e-1
6.900e-2, -9.933e-1
7.000e-2, -9.945e-1
7.100e-2, -9.957e-1
7.200e-2, -9.969e-1
7.300e-2, -9.981e-1
7.400e-2, -9.993e-1
7.500e-2, -6.785e-1
7.600e-2, -6.638e-1
7.700e-2, -6.526e-1
7.800e-2, -6.401e-1
7.900e-2, -6.323e-1
8.000e-2, -6.255e-1
8.100e-2, -6.194e-1
8.200e-2, -6.140e-1
8.300e-2, -6.089e-1
8.400e-2, -6.036e-1
8.500e-2, -5.984e-1
8.600e-2, -5.934e-1
8.700e-2, -5.883e-1
8.800e-2, -5.834e-1
8.900e-2, -5.787e-1
9.000e-2, -5.742e-1
9.100e-2, -5.700e-1
9.200e-2, -5.658e-1
9.300e-2, -5.619e-1
9.400e-2, -5.581e-1
9.500e-2, -5.545e-1
9.600e-2, -5.509e-1
9.700e-2, -5.475e-1
9.800e-2, -5.441e-1
9.900e-2, -5.410e-1
1.000e-1, -5.379e-1
1.010e-1, -5.349e-1
1.020e-1, -5.319e-1
1.030e-1, -5.291e-1
1.040e-1, -5.263e-1
1.050e-1, -5.236e-1
1.060e-1, -5.210e-1
1.070e-1, -5.184e-1
1.080e-1, -5.160e-1
1.090e-1, -5.135e-1
1.100e-1, -5.111e-1
1.110e-1, -5.088e-1
1.120e-1, -5.065e-1
1.130e-1, -5.043e-1
1.140e-1, -5.021e-1
1.150e-1, -4.999e-1
1.160e-1, -4.978e-1
1.170e-1, -4.957e-1
1.180e-1, -4.938e-1
1.190e-1, -4.917e-1
1.200e-1, -4.898e-1
1.210e-1, -4.879e-1
1.220e-1, -4.860e-1
1.230e-1, -4.842e-1
1.240e-1, -4.823e-1
1.250e-1, -4.806e-1
1.260e-1, -4.788e-1
1.270e-1, -4.771e-1
1.280e-1, -4.754e-1
1.290e-1, -4.737e-1
1.300e-1, -4.721e-1
1.310e-1, -4.704e-1
1.320e-1, -4.688e-1
1.330e-1, -4.673e-1
1.340e-1, -4.657e-1
1.350e-1, -4.642e-1
1.360e-1, -4.627e-1
1.370e-1, -4.612e-1
1.380e-1, -4.597e-1
1.390e-1, -4.582e-1
1.400e-1, -4.568e-1
1.410e-1, -4.554e-1
1.420e-1, -4.540e-1
1.430e-1, -4.526e-1
1.440e-1, -4.513e-1
1.450e-1, -4.499e-1
1.460e-1, -4.485e-1
1.470e-1, -4.472e-1
1.480e-1, -4.459e-1
1.490e-1, -4.446e-1
1.500e-1, -4.433e-1
1.510e-1, -4.420e-1
1.520e-1, -4.408e-1
1.530e-1, -4.396e-1
1.540e-1, -4.383e-1
1.550e-1, -4.371e-1
1.560e-1, -4.359e-1
1.570e-1, -4.347e-1
1.580e-1, -4.335e-1
1.590e-1, -4.323e-1
1.600e-1, -4.312e-1
1.610e-1, -4.300e-1
1.620e-1, -4.289e-1
1.630e-1, -4.277e-1
1.640e-1, -4.266e-1
1.650e-1, -4.254e-1
1.660e-1, -4.244e-1
1.670e-1, -4.232e-1
1.680e-1, -4.221e-1
1.690e-1, -4.211e-1
1.700e-1, -4.200e-1
1.710e-1, -4.190e-1
1.720e-1, -4.179e-1
1.730e-1, -4.169e-1
1.740e-1, -4.159e-1
1.750e-1, -4.149e-1
1.760e-1, -4.140e-1
1.770e-1, -4.129e-1
1.780e-1, -4.120e-1
1.790e-1, -4.111e-1
1.800e-1, -4.101e-1
1.810e-1, -4.093e-1
1.820e-1, -4.085e-1
1.830e-1, -4.077e-1
1.840e-1, -4.068e-1
1.850e-1, -4.060e-1
1.860e-1, -4.052e-1
1.870e-1, -4.044e-1
1.880e-1, -4.036e-1
1.890e-1, -4.028e-1
1.900e-1, -4.020e-1
1.910e-1, -4.011e-1
1.920e-1, -4.003e-1
1.930e-1, -3.994e-1
1.940e-1, -3.986e-1
1.950e-1, -3.978e-1
1.960e-1, -3.969e-1
1.970e-1, -3.961e-1
1.980e-1, -3.952e-1
1.990e-1, -3.943e-1
2.000e-1, -3.935e-1
2.010e-1, -3.925e-1
2.020e-1, -3.916e-1
2.030e-1, -3.907e-1
2.040e-1, -3.897e-1
2.050e-1, -3.886e-1
2.060e-1, -3.876e-1
2.070e-1, -3.865e-1
2.080e-1, -3.853e-1
2.090e-1, -3.843e-1
2.100e-1, -3.833e-1
2.110e-1, -3.823e-1
2.120e-1, -3.815e-1
