Apr. 17, 2018   13:11:47
Chronopotentiometry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.1072
Anodic Current (A) = 0.1072
Init P/N = N
Data Storage Interval (s) = 0.001
High E Limit (V) = 0
Low E Limit (V) = -1
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-3, -8.537e-1
2.000e-3, -8.648e-1
3.000e-3, -8.660e-1
4.000e-3, -8.642e-1
5.000e-3, -8.648e-1
6.000e-3, -8.680e-1
7.000e-3, -8.720e-1
8.000e-3, -8.760e-1
9.000e-3, -8.801e-1
1.000e-2, -8.839e-1
1.100e-2, -8.877e-1
1.200e-2, -8.912e-1
1.300e-2, -8.946e-1
1.400e-2, -8.979e-1
1.500e-2, -9.011e-1
1.600e-2, -9.041e-1
1.700e-2, -9.071e-1
1.800e-2, -9.099e-1
1.900e-2, -9.126e-1
2.000e-2, -9.153e-1
2.100e-2, -9.179e-1
2.200e-2, -9.204e-1
2.300e-2, -9.228e-1
2.400e-2, -9.252e-1
2.500e-2, -9.276e-1
2.600e-2, -9.298e-1
2.700e-2, -9.321e-1
2.800e-2, -9.342e-1
2.900e-2, -9.363e-1
3.000e-2, -9.384e-1
3.100e-2, -9.404e-1
3.200e-2, -9.424e-1
3.300e-2, -9.443e-1
3.400e-2, -9.462e-1
3.500e-2, -9.480e-1
3.600e-2, -9.499e-1
3.700e-2, -9.516e-1
3.800e-2, -9.534e-1
3.900e-2, -9.551e-1
4.000e-2, -9.568e-1
4.100e-2, -9.585e-1
4.200e-2, -9.601e-1
4.300e-2, -9.617e-1
4.400e-2, -9.633e-1
4.500e-2, -9.649e-1
4.600e-2, -9.664e-1
4.700e-2, -9.679e-1
4.800e-2, -9.694e-1
4.900e-2, -9.708e-1
5.000e-2, -9.723e-1
5.100e-2, -9.737e-1
5.200e-2, -9.751e-1
5.300e-2, -9.765e-1
5.400e-2, -9.779e-1
5.500e-2, -9.792e-1
5.600e-2, -9.805e-1
5.700e-2, -9.818e-1
5.800e-2, -9.831e-1
5.900e-2, -9.844e-1
6.000e-2, -9.856e-1
6.100e-2, -9.868e-1
6.200e-2, -9.880e-1
6.300e-2, -9.893e-1
6.400e-2, -9.904e-1
6.500e-2, -9.916e-1
6.600e-2, -9.928e-1
6.700e-2, -9.939e-1
6.800e-2, -9.951e-1
