Apr. 17, 2018   11:22:36
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:
Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Segment 8:

Segment 9:
Segment 10:

Potential/V, Current/A

-1.000, -7.475e-2
-0.999, -7.402e-2
-0.998, -7.336e-2
-0.997, -7.273e-2
-0.996, -7.211e-2
-0.995, -7.151e-2
-0.994, -7.093e-2
-0.993, -7.035e-2
-0.992, -6.980e-2
-0.991, -6.924e-2
-0.990, -6.871e-2
-0.989, -6.817e-2
-0.988, -6.764e-2
-0.987, -6.712e-2
-0.986, -6.661e-2
-0.985, -6.610e-2
-0.984, -6.558e-2
-0.983, -6.507e-2
-0.982, -6.458e-2
-0.981, -6.408e-2
-0.980, -6.358e-2
-0.979, -6.309e-2
-0.978, -6.260e-2
-0.977, -6.212e-2
-0.976, -6.165e-2
-0.975, -6.118e-2
-0.974, -6.072e-2
-0.973, -6.026e-2
-0.972, -5.979e-2
-0.971, -5.934e-2
-0.970, -5.889e-2
-0.969, -5.844e-2
-0.968, -5.799e-2
-0.967, -5.754e-2
-0.966, -5.711e-2
-0.965, -5.667e-2
-0.964, -5.623e-2
-0.963, -5.580e-2
-0.962, -5.536e-2
-0.961, -5.492e-2
-0.960, -5.450e-2
-0.959, -5.407e-2
-0.958, -5.365e-2
-0.957, -5.323e-2
-0.956, -5.281e-2
-0.955, -5.240e-2
-0.954, -5.198e-2
-0.953, -5.157e-2
-0.952, -5.117e-2
-0.951, -5.076e-2
-0.950, -5.035e-2
-0.949, -4.995e-2
-0.948, -4.955e-2
-0.947, -4.916e-2
-0.946, -4.877e-2
-0.945, -4.837e-2
-0.944, -4.798e-2
-0.943, -4.759e-2
-0.942, -4.720e-2
-0.941, -4.681e-2
-0.940, -4.642e-2
-0.939, -4.604e-2
-0.938, -4.566e-2
