Apr. 17, 2018   12:22:17
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -3.759e-2
-0.999, -3.707e-2
-0.998, -3.651e-2
-0.997, -3.605e-2
-0.996, -3.559e-2
-0.995, -3.516e-2
-0.994, -3.473e-2
-0.993, -3.430e-2
-0.992, -3.393e-2
-0.991, -3.353e-2
-0.990, -3.316e-2
-0.989, -3.279e-2
-0.988, -3.242e-2
-0.987, -3.206e-2
-0.986, -3.172e-2
-0.985, -3.138e-2
-0.984, -3.101e-2
-0.983, -3.067e-2
-0.982, -3.036e-2
-0.981, -3.003e-2
-0.980, -2.969e-2
-0.979, -2.938e-2
-0.978, -2.907e-2
-0.977, -2.873e-2
-0.976, -2.843e-2
-0.975, -2.812e-2
-0.974, -2.781e-2
-0.973, -2.750e-2
-0.972, -2.723e-2
-0.971, -2.692e-2
-0.970, -2.664e-2
-0.969, -2.634e-2
-0.968, -2.606e-2
-0.967, -2.575e-2
-0.966, -2.547e-2
-0.965, -2.517e-2
-0.964, -2.489e-2
-0.963, -2.461e-2
-0.962, -2.434e-2
-0.961, -2.406e-2
-0.960, -2.375e-2
-0.959, -2.347e-2
-0.958, -2.320e-2
-0.957, -2.295e-2
-0.956, -2.268e-2
-0.955, -2.240e-2
-0.954, -2.212e-2
-0.953, -2.185e-2
-0.952, -2.160e-2
-0.951, -2.132e-2
-0.950, -2.108e-2
-0.949, -2.083e-2
-0.948, -2.055e-2
-0.947, -2.031e-2
-0.946, -2.003e-2
-0.945, -1.978e-2
-0.944, -1.951e-2
-0.943, -1.926e-2
-0.942, -1.902e-2
-0.941, -1.874e-2
-0.940, -1.849e-2
-0.939, -1.825e-2
-0.938, -1.797e-2
-0.937, -1.775e-2
-0.936, -1.751e-2
