Apr. 13, 2018   16:58:46
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:
Segment 2:
Segment 3:
Segment 4:
Segment 5:
Segment 6:
Potential/V, Current/A

-1.000, -2.862e-2
-0.999, -2.672e-2
-0.998, -2.494e-2
-0.997, -2.319e-2
-0.996, -2.155e-2
-0.995, -1.999e-2
-0.994, -1.848e-2
-0.993, -1.703e-2
-0.992, -1.566e-2
-0.991, -1.432e-2
-0.990, -1.306e-2
-0.989, -1.184e-2
-0.988, -1.067e-2
-0.987, -9.541e-3
-0.986, -8.460e-3
-0.985, -7.401e-3
-0.984, -6.397e-3
-0.983, -5.394e-3
-0.982, -4.459e-3
-0.981, -3.521e-3
-0.980, -2.633e-3
-0.979, -1.773e-3
-0.978, -9.397e-4
-0.977, -1.172e-4
-0.976, 6.469e-4
-0.975, 1.424e-3
-0.974, 2.136e-3
-0.973, 2.834e-3
-0.972, 3.517e-3
-0.971, 4.194e-3
-0.970, 4.858e-3
-0.969, 5.509e-3
-0.968, 6.080e-3
-0.967, 6.753e-3
-0.966, 7.352e-3
-0.965, 7.951e-3
-0.964, 8.515e-3
-0.963, 9.058e-3
-0.962, 9.585e-3
-0.961, 1.011e-2
-0.960, 1.058e-2
-0.959, 1.109e-2
-0.958, 1.156e-2
-0.957, 1.203e-2
-0.956, 1.248e-2
-0.955, 1.293e-2
-0.954, 1.336e-2
-0.953, 1.380e-2
-0.952, 1.419e-2
-0.951, 1.462e-2
-0.950, 1.500e-2
-0.949, 1.539e-2
-0.948, 1.578e-2
-0.947, 1.612e-2
-0.946, 1.648e-2
-0.945, 1.685e-2
-0.944, 1.718e-2
-0.943, 1.754e-2
-0.942, 1.785e-2
-0.941, 1.819e-2
-0.940, 1.850e-2
-0.939, 1.881e-2
-0.938, 1.910e-2
-0.937, 1.941e-2
-0.936, 1.967e-2
