Mar. 28, 2018   15:54:38
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:
Segment 3:
Segment 4:
Segment 5:
Segment 6:
Segment 7:
Segment 8:
Segment 9:
Segment 10:
Potential/V, Current/A

-1.000, -1.738e-2
-0.999, -1.653e-2
-0.998, -1.578e-2
-0.997, -1.506e-2
-0.996, -1.439e-2
-0.995, -1.376e-2
-0.994, -1.315e-2
-0.993, -1.256e-2
-0.992, -1.199e-2
-0.991, -1.144e-2
-0.990, -1.090e-2
-0.989, -1.037e-2
-0.988, -9.858e-3
-0.987, -9.360e-3
-0.986, -8.865e-3
-0.985, -8.383e-3
-0.984, -7.904e-3
-0.983, -7.428e-3
-0.982, -6.973e-3
-0.981, -6.518e-3
-0.980, -6.072e-3
-0.979, -5.644e-3
-0.978, -5.212e-3
-0.977, -4.785e-3
-0.976, -4.374e-3
-0.975, -3.958e-3
-0.974, -3.551e-3
-0.973, -3.163e-3
-0.972, -2.773e-3
-0.971, -2.382e-3
-0.970, -2.001e-3
-0.969, -1.624e-3
-0.968, -1.256e-3
-0.967, -8.806e-4
-0.966, -5.191e-4
-0.965, -1.601e-4
-0.964, 2.027e-4
-0.963, 5.469e-4
-0.962, 8.936e-4
-0.961, 1.237e-3
-0.960, 1.557e-3
-0.959, 1.896e-3
-0.958, 2.224e-3
-0.957, 2.545e-3
-0.956, 2.868e-3
-0.955, 3.183e-3
-0.954, 3.500e-3
-0.953, 3.814e-3
-0.952, 4.105e-3
-0.951, 4.414e-3
-0.950, 4.709e-3
-0.949, 5.007e-3
-0.948, 5.304e-3
-0.947, 5.578e-3
-0.946, 5.865e-3
-0.945, 6.153e-3
-0.944, 6.427e-3
-0.943, 6.711e-3
-0.942, 6.984e-3
-0.941, 7.257e-3
-0.940, 7.530e-3
-0.939, 7.797e-3
-0.938, 8.064e-3
