Mar. 28, 2018   17:12:12
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:
Segment 2:
Segment 3:
Segment 4:
Segment 5:
Segment 6:
Potential/V, Current/A

-1.000, -2.933e-2
-0.999, -2.851e-2
-0.998, -2.771e-2
-0.997, -2.696e-2
-0.996, -2.624e-2
-0.995, -2.555e-2
-0.994, -2.489e-2
-0.993, -2.424e-2
-0.992, -2.361e-2
-0.991, -2.299e-2
-0.990, -2.240e-2
-0.989, -2.182e-2
-0.988, -2.125e-2
-0.987, -2.070e-2
-0.986, -2.015e-2
-0.985, -1.963e-2
-0.984, -1.910e-2
-0.983, -1.859e-2
-0.982, -1.809e-2
-0.981, -1.760e-2
-0.980, -1.711e-2
-0.979, -1.664e-2
-0.978, -1.617e-2
-0.977, -1.571e-2
-0.976, -1.526e-2
-0.975, -1.482e-2
-0.974, -1.438e-2
-0.973, -1.396e-2
-0.972, -1.355e-2
-0.971, -1.314e-2
-0.970, -1.273e-2
-0.969, -1.233e-2
-0.968, -1.194e-2
-0.967, -1.156e-2
-0.966, -1.118e-2
-0.965, -1.081e-2
-0.964, -1.043e-2
-0.963, -1.007e-2
-0.962, -9.722e-3
-0.961, -9.372e-3
-0.960, -9.031e-3
-0.959, -8.690e-3
-0.958, -8.355e-3
-0.957, -8.016e-3
-0.956, -7.688e-3
-0.955, -7.366e-3
-0.954, -7.047e-3
-0.953, -6.735e-3
-0.952, -6.428e-3
-0.951, -6.122e-3
-0.950, -5.830e-3
-0.949, -5.535e-3
-0.948, -5.241e-3
-0.947, -4.965e-3
-0.946, -4.681e-3
-0.945, -4.400e-3
-0.944, -4.125e-3
-0.943, -3.851e-3
-0.942, -3.583e-3
-0.941, -3.317e-3
-0.940, -3.055e-3
-0.939, -2.800e-3
-0.938, -2.543e-3
-0.937, -2.295e-3
-0.936, -2.049e-3
