Mar. 28, 2018   09:53:48
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:
Segment 2:

Segment 3:
Segment 4:

Segment 5:
Segment 6:

Segment 7:

Segment 8:

Segment 9:

Segment 10:

Potential/V, Current/A

-1.000, -1.668e-2
-0.999, -1.546e-2
-0.998, -1.433e-2
-0.997, -1.325e-2
-0.996, -1.221e-2
-0.995, -1.123e-2
-0.994, -1.026e-2
-0.993, -9.317e-3
-0.992, -8.404e-3
-0.991, -7.498e-3
-0.990, -6.631e-3
-0.989, -5.788e-3
-0.988, -4.959e-3
-0.987, -4.150e-3
-0.986, -3.361e-3
-0.985, -2.590e-3
-0.984, -1.837e-3
-0.983, -1.087e-3
-0.982, -3.633e-4
-0.981, 3.598e-4
-0.980, 1.067e-3
-0.979, 1.749e-3
-0.978, 2.424e-3
-0.977, 3.091e-3
-0.976, 3.733e-3
-0.975, 4.367e-3
-0.974, 4.989e-3
-0.973, 5.590e-3
-0.972, 6.188e-3
-0.971, 6.781e-3
-0.970, 7.366e-3
-0.969, 7.948e-3
-0.968, 8.507e-3
-0.967, 9.070e-3
-0.966, 9.610e-3
-0.965, 1.014e-2
-0.964, 1.067e-2
-0.963, 1.118e-2
-0.962, 1.169e-2
-0.961, 1.219e-2
-0.960, 1.266e-2
-0.959, 1.314e-2
-0.958, 1.361e-2
-0.957, 1.407e-2
-0.956, 1.452e-2
-0.955, 1.496e-2
-0.954, 1.541e-2
-0.953, 1.586e-2
-0.952, 1.627e-2
-0.951, 1.670e-2
-0.950, 1.711e-2
-0.949, 1.752e-2
-0.948, 1.791e-2
-0.947, 1.828e-2
-0.946, 1.868e-2
-0.945, 1.906e-2
-0.944, 1.943e-2
-0.943, 1.980e-2
-0.942, 2.016e-2
-0.941, 2.052e-2
-0.940, 2.088e-2
-0.939, 2.122e-2
-0.938, 2.156e-2
