Mar. 28, 2018   10:33:01
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.03
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:
Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -3.195e-3
-0.999, -2.521e-3
-0.998, -1.925e-3
-0.997, -1.369e-3
-0.996, -8.455e-4
-0.995, -3.629e-4
-0.994, 1.070e-4
-0.993, 5.463e-4
-0.992, 9.604e-4
-0.991, 1.358e-3
-0.990, 1.735e-3
-0.989, 2.092e-3
-0.988, 2.438e-3
-0.987, 2.762e-3
-0.986, 3.077e-3
-0.985, 3.375e-3
-0.984, 3.665e-3
-0.983, 3.942e-3
-0.982, 4.198e-3
-0.981, 4.454e-3
-0.980, 4.702e-3
-0.979, 4.938e-3
-0.978, 5.167e-3
-0.977, 5.382e-3
-0.976, 5.586e-3
-0.975, 5.791e-3
-0.974, 5.978e-3
-0.973, 6.159e-3
-0.972, 6.339e-3
-0.971, 6.514e-3
-0.970, 6.683e-3
-0.969, 6.845e-3
-0.968, 6.999e-3
-0.967, 7.152e-3
-0.966, 7.296e-3
-0.965, 7.437e-3
-0.964, 7.577e-3
-0.963, 7.699e-3
-0.962, 7.831e-3
-0.961, 7.956e-3
-0.960, 8.062e-3
-0.959, 8.177e-3
-0.958, 8.285e-3
-0.957, 8.390e-3
-0.956, 8.494e-3
-0.955, 8.591e-3
-0.954, 8.691e-3
-0.953, 8.784e-3
-0.952, 8.874e-3
-0.951, 8.966e-3
-0.950, 9.045e-3
-0.949, 9.127e-3
-0.948, 9.208e-3
-0.947, 9.271e-3
-0.946, 9.351e-3
-0.945, 9.423e-3
-0.944, 9.491e-3
-0.943, 9.566e-3
-0.942, 9.630e-3
-0.941, 9.695e-3
-0.940, 9.758e-3
-0.939, 9.813e-3
-0.938, 9.876e-3
-0.937, 9.931e-3
-0.936, 9.985e-3
