Mar. 29, 2018   16:05:26
Chronopotentiometry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.1928
Anodic Current (A) = 0.1928
Init P/N = N
Data Storage Interval (s) = 0.001
High E Limit (V) = 0
Low E Limit (V) = -1
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-3, -9.590e-1
2.000e-3, -9.487e-1
3.000e-3, -9.463e-1
4.000e-3, -9.477e-1
5.000e-3, -9.500e-1
6.000e-3, -9.524e-1
7.000e-3, -9.548e-1
8.000e-3, -9.571e-1
9.000e-3, -9.592e-1
1.000e-2, -9.614e-1
1.100e-2, -9.634e-1
1.200e-2, -9.654e-1
1.300e-2, -9.673e-1
1.400e-2, -9.690e-1
1.500e-2, -9.708e-1
1.600e-2, -9.726e-1
1.700e-2, -9.742e-1
1.800e-2, -9.758e-1
1.900e-2, -9.775e-1
2.000e-2, -9.790e-1
2.100e-2, -9.805e-1
2.200e-2, -9.819e-1
2.300e-2, -9.834e-1
2.400e-2, -9.848e-1
2.500e-2, -9.862e-1
2.600e-2, -9.875e-1
2.700e-2, -9.888e-1
2.800e-2, -9.901e-1
2.900e-2, -9.914e-1
3.000e-2, -9.927e-1
3.100e-2, -9.939e-1
3.200e-2, -9.951e-1
3.300e-2, -9.963e-1
3.400e-2, -9.975e-1
3.500e-2, -9.986e-1
3.600e-2, -9.998e-1
3.700e-2, -5.954e-1
3.800e-2, -5.954e-1
3.900e-2, -5.880e-1
4.000e-2, -5.861e-1
4.100e-2, -5.856e-1
4.200e-2, -5.847e-1
4.300e-2, -5.820e-1
4.400e-2, -5.791e-1
4.500e-2, -5.760e-1
4.600e-2, -5.730e-1
4.700e-2, -5.701e-1
4.800e-2, -5.673e-1
4.900e-2, -5.645e-1
5.000e-2, -5.617e-1
5.100e-2, -5.591e-1
5.200e-2, -5.566e-1
5.300e-2, -5.542e-1
5.400e-2, -5.519e-1
5.500e-2, -5.496e-1
5.600e-2, -5.474e-1
5.700e-2, -5.452e-1
5.800e-2, -5.431e-1
5.900e-2, -5.411e-1
6.000e-2, -5.391e-1
6.100e-2, -5.373e-1
6.200e-2, -5.354e-1
6.300e-2, -5.335e-1
6.400e-2, -5.317e-1
6.500e-2, -5.300e-1
6.600e-2, -5.283e-1
6.700e-2, -5.266e-1
6.800e-2, -5.250e-1
6.900e-2, -5.234e-1
7.000e-2, -5.218e-1
7.100e-2, -5.202e-1
7.200e-2, -5.188e-1
7.300e-2, -5.173e-1
7.400e-2, -5.158e-1
7.500e-2, -5.144e-1
7.600e-2, -5.130e-1
7.700e-2, -5.116e-1
7.800e-2, -5.102e-1
7.900e-2, -5.088e-1
8.000e-2, -5.075e-1
8.100e-2, -5.062e-1
8.200e-2, -5.049e-1
8.300e-2, -5.036e-1
8.400e-2, -5.023e-1
8.500e-2, -5.011e-1
8.600e-2, -4.998e-1
8.700e-2, -4.986e-1
8.800e-2, -4.974e-1
8.900e-2, -4.962e-1
9.000e-2, -4.949e-1
9.100e-2, -4.938e-1
9.200e-2, -4.926e-1
9.300e-2, -4.914e-1
9.400e-2, -4.903e-1
9.500e-2, -4.891e-1
9.600e-2, -4.880e-1
9.700e-2, -4.868e-1
9.800e-2, -4.857e-1
9.900e-2, -4.847e-1
1.000e-1, -4.836e-1
1.010e-1, -4.825e-1
1.020e-1, -4.815e-1
1.030e-1, -4.805e-1
1.040e-1, -4.795e-1
1.050e-1, -4.785e-1
1.060e-1, -4.777e-1
1.070e-1, -4.768e-1
1.080e-1, -4.760e-1
1.090e-1, -4.753e-1
1.100e-1, -4.746e-1
1.110e-1, -4.739e-1
1.120e-1, -4.732e-1
1.130e-1, -4.725e-1
1.140e-1, -4.717e-1
1.150e-1, -4.709e-1
1.160e-1, -4.700e-1
1.170e-1, -4.691e-1
1.180e-1, -4.683e-1
1.190e-1, -4.672e-1
1.200e-1, -4.663e-1
1.210e-1, -4.651e-1
1.220e-1, -4.640e-1
1.230e-1, -4.627e-1
1.240e-1, -4.614e-1
1.250e-1, -4.600e-1
1.260e-1, -4.585e-1
1.270e-1, -4.571e-1
1.280e-1, -4.558e-1
1.290e-1, -4.547e-1
1.300e-1, -4.537e-1
1.310e-1, -4.531e-1
1.320e-1, -4.529e-1
1.330e-1, -4.526e-1
1.340e-1, -4.522e-1
1.350e-1, -4.517e-1
1.360e-1, -4.514e-1
1.370e-1, -4.513e-1
1.380e-1, -4.512e-1
1.390e-1, -4.511e-1
1.400e-1, -4.508e-1
1.410e-1, -4.506e-1
1.420e-1, -4.502e-1
1.430e-1, -4.498e-1
1.440e-1, -4.494e-1
1.450e-1, -4.488e-1
1.460e-1, -4.483e-1
1.470e-1, -4.478e-1
1.480e-1, -4.472e-1
1.490e-1, -4.466e-1
1.500e-1, -4.460e-1
1.510e-1, -4.455e-1
1.520e-1, -4.449e-1
1.530e-1, -4.443e-1
1.540e-1, -4.437e-1
1.550e-1, -4.431e-1
1.560e-1, -4.426e-1
1.570e-1, -4.420e-1
1.580e-1, -4.414e-1
1.590e-1, -4.408e-1
1.600e-1, -4.403e-1
1.610e-1, -4.397e-1
1.620e-1, -4.391e-1
1.630e-1, -4.385e-1
1.640e-1, -4.379e-1
1.650e-1, -4.374e-1
1.660e-1, -4.368e-1
1.670e-1, -4.362e-1
1.680e-1, -4.357e-1
1.690e-1, -4.351e-1
1.700e-1, -4.346e-1
1.710e-1, -4.340e-1
1.720e-1, -4.335e-1
1.730e-1, -4.329e-1
1.740e-1, -4.323e-1
1.750e-1, -4.318e-1
1.760e-1, -4.312e-1
1.770e-1, -4.307e-1
1.780e-1, -4.301e-1
1.790e-1, -4.296e-1
1.800e-1, -4.290e-1
1.810e-1, -4.285e-1
1.820e-1, -4.280e-1
1.830e-1, -4.274e-1
1.840e-1, -4.269e-1
1.850e-1, -4.263e-1
1.860e-1, -4.258e-1
1.870e-1, -4.253e-1
1.880e-1, -4.247e-1
1.890e-1, -4.242e-1
1.900e-1, -4.237e-1
1.910e-1, -4.232e-1
1.920e-1, -4.226e-1
1.930e-1, -4.221e-1
1.940e-1, -4.217e-1
1.950e-1, -4.211e-1
1.960e-1, -4.206e-1
1.970e-1, -4.201e-1
1.980e-1, -4.196e-1
1.990e-1, -4.190e-1
2.000e-1, -4.185e-1
2.010e-1, -4.180e-1
2.020e-1, -4.175e-1
2.030e-1, -4.170e-1
2.040e-1, -4.165e-1
2.050e-1, -4.160e-1
2.060e-1, -4.155e-1
2.070e-1, -4.150e-1
2.080e-1, -4.145e-1
2.090e-1, -4.140e-1
2.100e-1, -4.135e-1
2.110e-1, -4.130e-1
2.120e-1, -4.125e-1
2.130e-1, -4.121e-1
2.140e-1, -4.116e-1
2.150e-1, -4.111e-1
2.160e-1, -4.106e-1
2.170e-1, -4.101e-1
2.180e-1, -4.097e-1
2.190e-1, -4.092e-1
2.200e-1, -4.087e-1
2.210e-1, -4.082e-1
2.220e-1, -4.077e-1
2.230e-1, -4.072e-1
2.240e-1, -4.068e-1
2.250e-1, -4.063e-1
2.260e-1, -4.058e-1
2.270e-1, -4.054e-1
2.280e-1, -4.049e-1
2.290e-1, -4.044e-1
2.300e-1, -4.039e-1
2.310e-1, -4.035e-1
2.320e-1, -4.030e-1
2.330e-1, -4.026e-1
2.340e-1, -4.021e-1
2.350e-1, -4.017e-1
2.360e-1, -4.012e-1
2.370e-1, -4.007e-1
2.380e-1, -4.003e-1
2.390e-1, -3.998e-1
2.400e-1, -3.994e-1
2.410e-1, -3.989e-1
2.420e-1, -3.984e-1
2.430e-1, -3.980e-1
2.440e-1, -3.975e-1
2.450e-1, -3.971e-1
2.460e-1, -3.967e-1
2.470e-1, -3.962e-1
2.480e-1, -3.958e-1
2.490e-1, -3.953e-1
2.500e-1, -3.949e-1
2.510e-1, -3.945e-1
2.520e-1, -3.940e-1
2.530e-1, -3.936e-1
2.540e-1, -3.931e-1
2.550e-1, -3.927e-1
2.560e-1, -3.922e-1
2.570e-1, -3.918e-1
2.580e-1, -3.914e-1
2.590e-1, -3.909e-1
2.600e-1, -3.905e-1
2.610e-1, -3.901e-1
2.620e-1, -3.896e-1
2.630e-1, -3.892e-1
2.640e-1, -3.887e-1
2.650e-1, -3.883e-1
2.660e-1, -3.879e-1
2.670e-1, -3.874e-1
2.680e-1, -3.870e-1
2.690e-1, -3.866e-1
2.700e-1, -3.862e-1
2.710e-1, -3.857e-1
2.720e-1, -3.853e-1
2.730e-1, -3.848e-1
2.740e-1, -3.844e-1
2.750e-1, -3.840e-1
2.760e-1, -3.836e-1
2.770e-1, -3.832e-1
2.780e-1, -3.827e-1
2.790e-1, -3.823e-1
2.800e-1, -3.819e-1
2.810e-1, -3.815e-1
2.820e-1, -3.811e-1
2.830e-1, -3.806e-1
2.840e-1, -3.803e-1
2.850e-1, -3.798e-1
2.860e-1, -3.794e-1
2.870e-1, -3.790e-1
2.880e-1, -3.785e-1
2.890e-1, -3.781e-1
2.900e-1, -3.777e-1
2.910e-1, -3.773e-1
2.920e-1, -3.769e-1
2.930e-1, -3.764e-1
2.940e-1, -3.761e-1
2.950e-1, -3.757e-1
2.960e-1, -3.753e-1
2.970e-1, -3.748e-1
2.980e-1, -3.744e-1
2.990e-1, -3.740e-1
3.000e-1, -3.736e-1
3.010e-1, -3.732e-1
3.020e-1, -3.728e-1
3.030e-1, -3.724e-1
3.040e-1, -3.720e-1
3.050e-1, -3.716e-1
3.060e-1, -3.712e-1
3.070e-1, -3.707e-1
3.080e-1, -3.704e-1
3.090e-1, -3.699e-1
3.100e-1, -3.695e-1
3.110e-1, -3.691e-1
3.120e-1, -3.687e-1
3.130e-1, -3.683e-1
3.140e-1, -3.679e-1
3.150e-1, -3.675e-1
3.160e-1, -3.671e-1
3.170e-1, -3.668e-1
3.180e-1, -3.663e-1
3.190e-1, -3.659e-1
3.200e-1, -3.655e-1
3.210e-1, -3.651e-1
3.220e-1, -3.647e-1
3.230e-1, -3.643e-1
3.240e-1, -3.639e-1
3.250e-1, -3.635e-1
3.260e-1, -3.631e-1
3.270e-1, -3.628e-1
3.280e-1, -3.623e-1
3.290e-1, -3.619e-1
3.300e-1, -3.615e-1
3.310e-1, -3.611e-1
3.320e-1, -3.607e-1
3.330e-1, -3.603e-1
3.340e-1, -3.600e-1
3.350e-1, -3.596e-1
3.360e-1, -3.592e-1
3.370e-1, -3.588e-1
3.380e-1, -3.584e-1
3.390e-1, -3.580e-1
3.400e-1, -3.576e-1
3.410e-1, -3.573e-1
3.420e-1, -3.569e-1
3.430e-1, -3.565e-1
3.440e-1, -3.561e-1
3.450e-1, -3.556e-1
3.460e-1, -3.553e-1
3.470e-1, -3.549e-1
3.480e-1, -3.545e-1
3.490e-1, -3.541e-1
3.500e-1, -3.537e-1
3.510e-1, -3.534e-1
3.520e-1, -3.530e-1
3.530e-1, -3.526e-1
3.540e-1, -3.522e-1
3.550e-1, -3.518e-1
3.560e-1, -3.514e-1
3.570e-1, -3.510e-1
3.580e-1, -3.506e-1
3.590e-1, -3.502e-1
3.600e-1, -3.499e-1
3.610e-1, -3.495e-1
3.620e-1, -3.491e-1
3.630e-1, -3.487e-1
3.640e-1, -3.483e-1
3.650e-1, -3.480e-1
3.660e-1, -3.475e-1
3.670e-1, -3.472e-1
3.680e-1, -3.468e-1
3.690e-1, -3.464e-1
3.700e-1, -3.460e-1
3.710e-1, -3.456e-1
3.720e-1, -3.452e-1
3.730e-1, -3.449e-1
3.740e-1, -3.445e-1
3.750e-1, -3.441e-1
3.760e-1, -3.437e-1
3.770e-1, -3.434e-1
3.780e-1, -3.430e-1
3.790e-1, -3.426e-1
3.800e-1, -3.422e-1
3.810e-1, -3.419e-1
3.820e-1, -3.415e-1
3.830e-1, -3.411e-1
3.840e-1, -3.407e-1
3.850e-1, -3.403e-1
3.860e-1, -3.400e-1
3.870e-1, -3.396e-1
3.880e-1, -3.392e-1
3.890e-1, -3.388e-1
3.900e-1, -3.384e-1
3.910e-1, -3.380e-1
3.920e-1, -3.377e-1
3.930e-1, -3.373e-1
3.940e-1, -3.369e-1
3.950e-1, -3.366e-1
3.960e-1, -3.362e-1
3.970e-1, -3.358e-1
3.980e-1, -3.354e-1
3.990e-1, -3.350e-1
4.000e-1, -3.347e-1
4.010e-1, -3.343e-1
4.020e-1, -3.339e-1
4.030e-1, -3.336e-1
4.040e-1, -3.332e-1
4.050e-1, -3.328e-1
4.060e-1, -3.324e-1
4.070e-1, -3.321e-1
4.080e-1, -3.317e-1
4.090e-1, -3.313e-1
4.100e-1, -3.310e-1
4.110e-1, -3.306e-1
4.120e-1, -3.302e-1
4.130e-1, -3.298e-1
4.140e-1, -3.294e-1
4.150e-1, -3.290e-1
4.160e-1, -3.287e-1
4.170e-1, -3.283e-1
4.180e-1, -3.279e-1
4.190e-1, -3.276e-1
4.200e-1, -3.272e-1
4.210e-1, -3.268e-1
4.220e-1, -3.265e-1
4.230e-1, -3.261e-1
4.240e-1, -3.257e-1
4.250e-1, -3.253e-1
4.260e-1, -3.250e-1
4.270e-1, -3.246e-1
4.280e-1, -3.243e-1
4.290e-1, -3.239e-1
4.300e-1, -3.235e-1
4.310e-1, -3.232e-1
4.320e-1, -3.228e-1
4.330e-1, -3.224e-1
4.340e-1, -3.220e-1
4.350e-1, -3.216e-1
4.360e-1, -3.213e-1
4.370e-1, -3.209e-1
4.380e-1, -3.206e-1
4.390e-1, -3.202e-1
4.400e-1, -3.198e-1
4.410e-1, -3.194e-1
4.420e-1, -3.191e-1
4.430e-1, -3.187e-1
4.440e-1, -3.183e-1
4.450e-1, -3.180e-1
4.460e-1, -3.176e-1
4.470e-1, -3.173e-1
4.480e-1, -3.169e-1
4.490e-1, -3.165e-1
4.500e-1, -3.162e-1
4.510e-1, -3.158e-1
4.520e-1, -3.154e-1
4.530e-1, -3.150e-1
4.540e-1, -3.147e-1
4.550e-1, -3.143e-1
4.560e-1, -3.139e-1
4.570e-1, -3.136e-1
4.580e-1, -3.132e-1
4.590e-1, -3.128e-1
4.600e-1, -3.125e-1
4.610e-1, -3.121e-1
4.620e-1, -3.118e-1
4.630e-1, -3.114e-1
4.640e-1, -3.110e-1
4.650e-1, -3.106e-1
4.660e-1, -3.103e-1
4.670e-1, -3.099e-1
4.680e-1, -3.095e-1
4.690e-1, -3.092e-1
4.700e-1, -3.088e-1
4.710e-1, -3.084e-1
4.720e-1, -3.081e-1
4.730e-1, -3.077e-1
4.740e-1, -3.074e-1
4.750e-1, -3.070e-1
4.760e-1, -3.066e-1
4.770e-1, -3.062e-1
4.780e-1, -3.059e-1
4.790e-1, -3.055e-1
4.800e-1, -3.051e-1
4.810e-1, -3.048e-1
4.820e-1, -3.044e-1
4.830e-1, -3.041e-1
4.840e-1, -3.037e-1
4.850e-1, -3.033e-1
4.860e-1, -3.030e-1
4.870e-1, -3.026e-1
4.880e-1, -3.023e-1
4.890e-1, -3.019e-1
4.900e-1, -3.015e-1
4.910e-1, -3.011e-1
4.920e-1, -3.008e-1
4.930e-1, -3.004e-1
4.940e-1, -3.001e-1
4.950e-1, -2.997e-1
4.960e-1, -2.993e-1
4.970e-1, -2.990e-1
4.980e-1, -2.986e-1
4.990e-1, -2.982e-1
5.000e-1, -2.979e-1
5.010e-1, -2.975e-1
5.020e-1, -2.972e-1
5.030e-1, -2.968e-1
5.040e-1, -2.964e-1
5.050e-1, -2.960e-1
5.060e-1, -2.957e-1
5.070e-1, -2.953e-1
5.080e-1, -2.950e-1
5.090e-1, -2.946e-1
5.100e-1, -2.942e-1
5.110e-1, -2.939e-1
5.120e-1, -2.935e-1
5.130e-1, -2.932e-1
5.140e-1, -2.928e-1
5.150e-1, -2.924e-1
5.160e-1, -2.921e-1
5.170e-1, -2.917e-1
5.180e-1, -2.914e-1
5.190e-1, -2.910e-1
5.200e-1, -2.906e-1
5.210e-1, -2.903e-1
