Mar. 29, 2018   13:45:48
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:
Segment 3:
Segment 4:
Segment 5:
Segment 6:

Segment 7:
Segment 8:

Segment 9:
Segment 10:

Potential/V, Current/A

-1.000, -7.438e-2
-0.999, -7.297e-2
-0.998, -7.166e-2
-0.997, -7.037e-2
-0.996, -6.912e-2
-0.995, -6.793e-2
-0.994, -6.676e-2
-0.993, -6.561e-2
-0.992, -6.450e-2
-0.991, -6.339e-2
-0.990, -6.230e-2
-0.989, -6.125e-2
-0.988, -6.020e-2
-0.987, -5.918e-2
-0.986, -5.817e-2
-0.985, -5.717e-2
-0.984, -5.619e-2
-0.983, -5.520e-2
-0.982, -5.423e-2
-0.981, -5.327e-2
-0.980, -5.232e-2
-0.979, -5.139e-2
-0.978, -5.046e-2
-0.977, -4.954e-2
-0.976, -4.864e-2
-0.975, -4.774e-2
-0.974, -4.685e-2
-0.973, -4.599e-2
-0.972, -4.512e-2
-0.971, -4.427e-2
-0.970, -4.342e-2
-0.969, -4.259e-2
-0.968, -4.175e-2
-0.967, -4.092e-2
-0.966, -4.010e-2
-0.965, -3.928e-2
-0.964, -3.847e-2
-0.963, -3.768e-2
-0.962, -3.689e-2
-0.961, -3.610e-2
-0.960, -3.534e-2
-0.959, -3.457e-2
-0.958, -3.380e-2
-0.957, -3.305e-2
-0.956, -3.229e-2
-0.955, -3.155e-2
-0.954, -3.080e-2
-0.953, -3.007e-2
-0.952, -2.935e-2
-0.951, -2.863e-2
-0.950, -2.792e-2
-0.949, -2.722e-2
-0.948, -2.651e-2
-0.947, -2.584e-2
-0.946, -2.515e-2
-0.945, -2.445e-2
-0.944, -2.378e-2
-0.943, -2.309e-2
-0.942, -2.243e-2
-0.941, -2.176e-2
-0.940, -2.110e-2
-0.939, -2.046e-2
-0.938, -1.981e-2
