Mar. 28, 2018   20:28:01
Chronopotentiometry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.1896
Anodic Current (A) = 0.1896
Init P/N = N
Data Storage Interval (s) = 0.001
High E Limit (V) = 0
Low E Limit (V) = -1
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-3, -8.763e-1
2.000e-3, -8.889e-1
3.000e-3, -8.925e-1
4.000e-3, -8.931e-1
5.000e-3, -8.949e-1
6.000e-3, -8.982e-1
7.000e-3, -9.020e-1
8.000e-3, -9.059e-1
9.000e-3, -9.097e-1
1.000e-2, -9.134e-1
1.100e-2, -9.169e-1
1.200e-2, -9.204e-1
1.300e-2, -9.236e-1
1.400e-2, -9.268e-1
1.500e-2, -9.298e-1
1.600e-2, -9.328e-1
1.700e-2, -9.356e-1
1.800e-2, -9.384e-1
1.900e-2, -9.411e-1
2.000e-2, -9.437e-1
2.100e-2, -9.462e-1
2.200e-2, -9.487e-1
2.300e-2, -9.511e-1
2.400e-2, -9.534e-1
2.500e-2, -9.557e-1
2.600e-2, -9.580e-1
2.700e-2, -9.602e-1
2.800e-2, -9.623e-1
2.900e-2, -9.645e-1
3.000e-2, -9.665e-1
3.100e-2, -9.686e-1
3.200e-2, -9.706e-1
3.300e-2, -9.726e-1
3.400e-2, -9.745e-1
3.500e-2, -9.764e-1
3.600e-2, -9.783e-1
3.700e-2, -9.801e-1
3.800e-2, -9.819e-1
3.900e-2, -9.837e-1
4.000e-2, -9.855e-1
4.100e-2, -9.872e-1
4.200e-2, -9.889e-1
4.300e-2, -9.906e-1
4.400e-2, -9.922e-1
4.500e-2, -9.939e-1
4.600e-2, -9.956e-1
4.700e-2, -9.972e-1
4.800e-2, -9.988e-1
4.900e-2, -4.584e-1
5.000e-2, -4.270e-1
5.100e-2, -4.077e-1
5.200e-2, -3.936e-1
5.300e-2, -3.829e-1
5.400e-2, -3.755e-1
5.500e-2, -3.683e-1
5.600e-2, -3.611e-1
5.700e-2, -3.542e-1
5.800e-2, -3.477e-1
5.900e-2, -3.417e-1
6.000e-2, -3.359e-1
6.100e-2, -3.302e-1
6.200e-2, -3.249e-1
6.300e-2, -3.199e-1
6.400e-2, -3.152e-1
6.500e-2, -3.107e-1
6.600e-2, -3.064e-1
6.700e-2, -3.023e-1
6.800e-2, -2.984e-1
6.900e-2, -2.946e-1
7.000e-2, -2.909e-1
7.100e-2, -2.874e-1
7.200e-2, -2.840e-1
7.300e-2, -2.808e-1
7.400e-2, -2.776e-1
7.500e-2, -2.746e-1
7.600e-2, -2.716e-1
7.700e-2, -2.686e-1
7.800e-2, -2.658e-1
7.900e-2, -2.631e-1
8.000e-2, -2.604e-1
8.100e-2, -2.577e-1
8.200e-2, -2.552e-1
8.300e-2, -2.527e-1
8.400e-2, -2.502e-1
8.500e-2, -2.478e-1
8.600e-2, -2.454e-1
8.700e-2, -2.431e-1
8.800e-2, -2.409e-1
8.900e-2, -2.387e-1
9.000e-2, -2.365e-1
9.100e-2, -2.343e-1
9.200e-2, -2.322e-1
9.300e-2, -2.302e-1
