Mar. 28, 2018   16:47:54
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -2.781e-3
-0.999, -2.367e-3
-0.998, -2.043e-3
-0.997, -1.761e-3
-0.996, -1.502e-3
-0.995, -1.273e-3
-0.994, -1.055e-3
-0.993, -8.565e-4
-0.992, -6.764e-4
-0.991, -5.037e-4
-0.990, -3.466e-4
-0.989, -2.041e-4
-0.988, -5.999e-5
-0.987, 7.030e-5
-0.986, 1.898e-4
-0.985, 3.054e-4
-0.984, 4.136e-4
-0.983, 5.151e-4
-0.982, 6.124e-4
-0.981, 7.043e-4
-0.980, 7.914e-4
-0.979, 8.712e-4
-0.978, 9.505e-4
-0.977, 1.025e-3
-0.976, 1.090e-3
-0.975, 1.156e-3
-0.974, 1.217e-3
-0.973, 1.269e-3
-0.972, 1.330e-3
-0.971, 1.383e-3
-0.970, 1.436e-3
-0.969, 1.487e-3
-0.968, 1.531e-3
-0.967, 1.579e-3
-0.966, 1.620e-3
-0.965, 1.662e-3
-0.964, 1.704e-3
-0.963, 1.737e-3
-0.962, 1.774e-3
-0.961, 1.810e-3
-0.960, 1.834e-3
-0.959, 1.871e-3
-0.958, 1.901e-3
-0.957, 1.928e-3
-0.956, 1.958e-3
-0.955, 1.983e-3
-0.954, 2.010e-3
-0.953, 2.036e-3
-0.952, 2.059e-3
-0.951, 2.084e-3
-0.950, 2.106e-3
-0.949, 2.128e-3
-0.948, 2.151e-3
-0.947, 2.160e-3
-0.946, 2.183e-3
-0.945, 2.206e-3
-0.944, 2.220e-3
-0.943, 2.241e-3
-0.942, 2.256e-3
-0.941, 2.274e-3
-0.940, 2.294e-3
-0.939, 2.308e-3
-0.938, 2.323e-3
-0.937, 2.339e-3
-0.936, 2.352e-3
