Mar. 28, 2018   10:14:28
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -6.169e-3
-0.999, -5.087e-3
-0.998, -4.199e-3
-0.997, -3.502e-3
-0.996, -2.950e-3
-0.995, -2.512e-3
-0.994, -2.146e-3
-0.993, -1.850e-3
-0.992, -1.593e-3
-0.991, -1.370e-3
-0.990, -1.180e-3
-0.989, -1.011e-3
-0.988, -8.642e-4
-0.987, -7.325e-4
-0.986, -6.134e-4
-0.985, -5.139e-4
-0.984, -4.170e-4
-0.983, -3.276e-4
-0.982, -2.501e-4
-0.981, -1.712e-4
-0.980, -9.825e-5
-0.979, -3.314e-5
-0.978, 3.259e-5
-0.977, 8.621e-5
-0.976, 1.379e-4
-0.975, 1.878e-4
-0.974, 2.307e-4
-0.973, 2.732e-4
-0.972, 3.099e-4
-0.971, 3.500e-4
-0.970, 3.931e-4
-0.969, 4.257e-4
-0.968, 4.584e-4
-0.967, 4.971e-4
-0.966, 5.214e-4
-0.965, 5.534e-4
-0.964, 5.847e-4
-0.963, 6.079e-4
-0.962, 6.316e-4
-0.961, 6.588e-4
-0.960, 6.735e-4
-0.959, 6.964e-4
-0.958, 7.176e-4
-0.957, 7.434e-4
-0.956, 7.672e-4
-0.955, 7.811e-4
-0.954, 8.000e-4
-0.953, 8.166e-4
-0.952, 8.366e-4
-0.951, 8.562e-4
-0.950, 8.690e-4
-0.949, 8.869e-4
-0.948, 9.048e-4
-0.947, 9.073e-4
-0.946, 9.265e-4
-0.945, 9.429e-4
-0.944, 9.591e-4
-0.943, 9.753e-4
-0.942, 9.873e-4
-0.941, 1.001e-3
-0.940, 1.012e-3
-0.939, 1.023e-3
-0.938, 1.038e-3
-0.937, 1.046e-3
-0.936, 1.058e-3
