Mar. 29, 2018   16:33:55
Cyclic Voltammetry
File: c:\users\lingd\google drive\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.3
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -2.560e-2
-0.999, -2.461e-2
-0.998, -2.372e-2
-0.997, -2.286e-2
-0.996, -2.200e-2
-0.995, -2.120e-2
-0.994, -2.043e-2
-0.993, -1.966e-2
-0.992, -1.892e-2
-0.991, -1.819e-2
-0.990, -1.751e-2
-0.989, -1.680e-2
-0.988, -1.609e-2
-0.987, -1.542e-2
-0.986, -1.474e-2
-0.985, -1.413e-2
-0.984, -1.348e-2
-0.983, -1.283e-2
-0.982, -1.222e-2
-0.981, -1.160e-2
-0.980, -1.096e-2
-0.979, -1.037e-2
-0.978, -9.790e-3
-0.977, -9.175e-3
-0.976, -8.590e-3
-0.975, -8.006e-3
-0.974, -7.422e-3
-0.973, -6.868e-3
-0.972, -6.315e-3
-0.971, -5.761e-3
-0.970, -5.177e-3
-0.969, -4.623e-3
-0.968, -4.101e-3
-0.967, -3.516e-3
-0.966, -2.993e-3
-0.965, -2.440e-3
-0.964, -1.917e-3
-0.963, -1.394e-3
-0.962, -8.715e-4
-0.961, -3.487e-4
-0.960, 1.434e-4
-0.959, 6.662e-4
-0.958, 1.189e-3
-0.957, 1.681e-3
-0.956, 2.204e-3
-0.955, 2.665e-3
-0.954, 3.188e-3
-0.953, 3.680e-3
-0.952, 4.172e-3
-0.951, 4.664e-3
-0.950, 5.156e-3
-0.949, 5.617e-3
-0.948, 6.109e-3
-0.947, 6.540e-3
-0.946, 7.032e-3
-0.945, 7.524e-3
-0.944, 7.985e-3
-0.943, 8.477e-3
-0.942, 8.939e-3
-0.941, 9.400e-3
-0.940, 9.861e-3
-0.939, 1.032e-2
-0.938, 1.078e-2
-0.937, 1.121e-2
-0.936, 1.168e-2
