Jan. 21, 2018   13:08:45
Chronopotentiometry
File: c:\users\lingd\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.01468
Anodic Current (A) = 0.01468
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.1
Low E Limit (V) = -0.9
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-1, -7.567e-1
2.000e-1, -7.703e-1
3.000e-1, -7.814e-1
4.000e-1, -7.911e-1
5.000e-1, -7.997e-1
6.000e-1, -8.075e-1
7.000e-1, -8.147e-1
8.000e-1, -8.215e-1
9.000e-1, -8.279e-1
1.000e+0, -8.339e-1
1.100e+0, -8.397e-1
1.200e+0, -8.452e-1
1.300e+0, -8.506e-1
1.400e+0, -8.557e-1
1.500e+0, -8.606e-1
1.600e+0, -8.655e-1
1.700e+0, -8.701e-1
1.800e+0, -8.746e-1
1.900e+0, -8.790e-1
2.000e+0, -8.833e-1
2.100e+0, -8.875e-1
2.200e+0, -8.916e-1
2.300e+0, -8.956e-1
2.400e+0, -8.995e-1
2.500e+0, -8.081e-1
2.600e+0, -7.682e-1
2.700e+0, -7.439e-1
2.800e+0, -7.255e-1
2.900e+0, -7.102e-1
3.000e+0, -6.968e-1
3.100e+0, -6.849e-1
3.200e+0, -6.741e-1
3.300e+0, -6.642e-1
3.400e+0, -6.551e-1
3.500e+0, -6.466e-1
3.600e+0, -6.386e-1
3.700e+0, -6.310e-1
3.800e+0, -6.237e-1
3.900e+0, -6.169e-1
4.000e+0, -6.104e-1
4.100e+0, -6.044e-1
4.200e+0, -5.985e-1
4.300e+0, -5.928e-1
4.400e+0, -5.871e-1
4.500e+0, -5.818e-1
4.600e+0, -5.767e-1
4.700e+0, -5.719e-1
4.800e+0, -5.671e-1
4.900e+0, -5.624e-1
5.000e+0, -5.579e-1
5.100e+0, -5.534e-1
5.200e+0, -5.490e-1
5.300e+0, -5.447e-1
5.400e+0, -5.405e-1
5.500e+0, -5.364e-1
5.600e+0, -5.324e-1
5.700e+0, -5.284e-1
5.800e+0, -5.245e-1
5.900e+0, -5.207e-1
6.000e+0, -5.169e-1
6.100e+0, -5.132e-1
6.200e+0, -5.095e-1
6.300e+0, -5.059e-1
6.400e+0, -5.024e-1
6.500e+0, -4.988e-1
6.600e+0, -4.954e-1
6.700e+0, -4.919e-1
6.800e+0, -4.886e-1
6.900e+0, -4.852e-1
7.000e+0, -4.819e-1
7.100e+0, -4.786e-1
7.200e+0, -4.754e-1
7.300e+0, -4.722e-1
7.400e+0, -4.690e-1
7.500e+0, -4.659e-1
7.600e+0, -4.627e-1
7.700e+0, -4.597e-1
7.800e+0, -4.566e-1
7.900e+0, -4.535e-1
8.000e+0, -4.505e-1
8.100e+0, -4.475e-1
8.200e+0, -4.446e-1
8.300e+0, -4.416e-1
8.400e+0, -4.387e-1
8.500e+0, -4.358e-1
8.600e+0, -4.329e-1
8.700e+0, -4.301e-1
8.800e+0, -4.272e-1
8.900e+0, -4.244e-1
9.000e+0, -4.216e-1
9.100e+0, -4.188e-1
9.200e+0, -4.160e-1
9.300e+0, -4.133e-1
9.400e+0, -4.106e-1
9.500e+0, -4.079e-1
9.600e+0, -4.052e-1
9.700e+0, -4.025e-1
9.800e+0, -3.998e-1
9.900e+0, -3.971e-1
1.000e+1, -3.945e-1
1.010e+1, -3.918e-1
1.020e+1, -3.892e-1
1.030e+1, -3.866e-1
1.040e+1, -3.840e-1
1.050e+1, -3.814e-1
1.060e+1, -3.788e-1
1.070e+1, -3.762e-1
1.080e+1, -3.737e-1
1.090e+1, -3.711e-1
1.100e+1, -3.685e-1
1.110e+1, -3.660e-1
1.120e+1, -3.635e-1
1.130e+1, -3.609e-1
1.140e+1, -3.584e-1
1.150e+1, -3.559e-1
1.160e+1, -3.533e-1
1.170e+1, -3.508e-1
1.180e+1, -3.484e-1
1.190e+1, -3.459e-1
1.200e+1, -3.434e-1
1.210e+1, -3.409e-1
1.220e+1, -3.384e-1
1.230e+1, -3.359e-1
1.240e+1, -3.335e-1
1.250e+1, -3.310e-1
1.260e+1, -3.285e-1
1.270e+1, -3.261e-1
1.280e+1, -3.236e-1
1.290e+1, -3.212e-1
1.300e+1, -3.187e-1
1.310e+1, -3.163e-1
1.320e+1, -3.139e-1
1.330e+1, -3.114e-1
1.340e+1, -3.090e-1
1.350e+1, -3.065e-1
1.360e+1, -3.041e-1
1.370e+1, -3.017e-1
1.380e+1, -2.992e-1
1.390e+1, -2.968e-1
1.400e+1, -2.944e-1
1.410e+1, -2.919e-1
1.420e+1, -2.894e-1
1.430e+1, -2.870e-1
1.440e+1, -2.845e-1
1.450e+1, -2.820e-1
1.460e+1, -2.795e-1
1.470e+1, -2.771e-1
1.480e+1, -2.746e-1
1.490e+1, -2.721e-1
1.500e+1, -2.696e-1
1.510e+1, -2.671e-1
1.520e+1, -2.646e-1
1.530e+1, -2.621e-1
1.540e+1, -2.596e-1
1.550e+1, -2.571e-1
1.560e+1, -2.546e-1
1.570e+1, -2.522e-1
1.580e+1, -2.497e-1
1.590e+1, -2.472e-1
