Jan. 21, 2018   13:13:43
Chronopotentiometry
File: c:\users\lingd\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.02349
Anodic Current (A) = 0.02349
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.1
Low E Limit (V) = -0.9
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-1, -7.411e-1
2.000e-1, -7.623e-1
3.000e-1, -7.794e-1
4.000e-1, -7.942e-1
5.000e-1, -8.074e-1
6.000e-1, -8.195e-1
7.000e-1, -8.307e-1
8.000e-1, -8.412e-1
9.000e-1, -8.512e-1
1.000e+0, -8.606e-1
1.100e+0, -8.695e-1
1.200e+0, -8.781e-1
1.300e+0, -8.863e-1
1.400e+0, -8.942e-1
1.500e+0, -7.544e-1
1.600e+0, -6.951e-1
1.700e+0, -6.604e-1
1.800e+0, -6.338e-1
1.900e+0, -6.116e-1
2.000e+0, -5.923e-1
2.100e+0, -5.752e-1
2.200e+0, -5.598e-1
2.300e+0, -5.454e-1
2.400e+0, -5.323e-1
2.500e+0, -5.205e-1
2.600e+0, -5.092e-1
2.700e+0, -4.980e-1
2.800e+0, -4.879e-1
2.900e+0, -4.786e-1
3.000e+0, -4.694e-1
3.100e+0, -4.605e-1
3.200e+0, -4.519e-1
3.300e+0, -4.435e-1
3.400e+0, -4.354e-1
3.500e+0, -4.276e-1
3.600e+0, -4.199e-1
3.700e+0, -4.125e-1
3.800e+0, -4.052e-1
3.900e+0, -3.981e-1
4.000e+0, -3.912e-1
4.100e+0, -3.844e-1
4.200e+0, -3.777e-1
4.300e+0, -3.712e-1
4.400e+0, -3.647e-1
4.500e+0, -3.584e-1
4.600e+0, -3.522e-1
4.700e+0, -3.460e-1
4.800e+0, -3.399e-1
4.900e+0, -3.339e-1
5.000e+0, -3.280e-1
5.100e+0, -3.221e-1
5.200e+0, -3.163e-1
5.300e+0, -3.106e-1
5.400e+0, -3.049e-1
5.500e+0, -2.993e-1
5.600e+0, -2.937e-1
5.700e+0, -2.882e-1
5.800e+0, -2.827e-1
5.900e+0, -2.772e-1
6.000e+0, -2.718e-1
6.100e+0, -2.664e-1
6.200e+0, -2.610e-1
6.300e+0, -2.557e-1
6.400e+0, -2.503e-1
6.500e+0, -2.449e-1
6.600e+0, -2.396e-1
6.700e+0, -2.343e-1
6.800e+0, -2.289e-1
6.900e+0, -2.236e-1
7.000e+0, -2.184e-1
7.100e+0, -2.131e-1
7.200e+0, -2.078e-1
7.300e+0, -2.026e-1
7.400e+0, -1.974e-1
7.500e+0, -1.922e-1
7.600e+0, -1.871e-1
7.700e+0, -1.819e-1
7.800e+0, -1.768e-1
7.900e+0, -1.717e-1
8.000e+0, -1.666e-1
8.100e+0, -1.615e-1
8.200e+0, -1.565e-1
8.300e+0, -1.515e-1
8.400e+0, -1.465e-1
8.500e+0, -1.415e-1
8.600e+0, -1.365e-1
8.700e+0, -1.316e-1
8.800e+0, -1.267e-1
8.900e+0, -1.217e-1
9.000e+0, -1.168e-1
9.100e+0, -1.119e-1
9.200e+0, -1.071e-1
9.300e+0, -1.022e-1
9.400e+0, -9.741e-2
9.500e+0, -9.258e-2
9.600e+0, -8.777e-2
9.700e+0, -8.297e-2
9.800e+0, -7.819e-2
9.900e+0, -7.341e-2
1.000e+1, -6.864e-2
1.010e+1, -6.390e-2
1.020e+1, -5.915e-2
1.030e+1, -5.441e-2
1.040e+1, -4.971e-2
1.050e+1, -4.500e-2
1.060e+1, -4.031e-2
1.070e+1, -3.563e-2
1.080e+1, -3.095e-2
1.090e+1, -2.628e-2
1.100e+1, -2.166e-2
1.110e+1, -1.705e-2
1.120e+1, -1.247e-2
1.130e+1, -7.907e-3
1.140e+1, -3.369e-3
1.150e+1, 1.136e-3
1.160e+1, 5.612e-3
1.170e+1, 1.006e-2
1.180e+1, 1.447e-2
1.190e+1, 1.886e-2
1.200e+1, 2.325e-2
1.210e+1, 2.759e-2
1.220e+1, 3.191e-2
1.230e+1, 3.622e-2
1.240e+1, 4.051e-2
1.250e+1, 4.476e-2
1.260e+1, 4.901e-2
1.270e+1, 5.326e-2
1.280e+1, 5.747e-2
1.290e+1, 6.165e-2
1.300e+1, 6.584e-2
1.310e+1, 6.999e-2
1.320e+1, 7.413e-2
1.330e+1, 7.826e-2
1.340e+1, 8.239e-2
1.350e+1, 8.649e-2
1.360e+1, 9.055e-2
1.370e+1, 9.463e-2
1.380e+1, 9.871e-2
1.390e+1, -7.562e-2
1.400e+1, -1.698e-1
1.410e+1, -2.214e-1
1.420e+1, -2.589e-1
1.430e+1, -2.891e-1
1.440e+1, -3.140e-1
1.450e+1, -3.352e-1
1.460e+1, -3.541e-1
1.470e+1, -3.712e-1
1.480e+1, -3.870e-1
1.490e+1, -4.015e-1
1.500e+1, -4.147e-1
1.510e+1, -4.271e-1
1.520e+1, -4.389e-1
1.530e+1, -4.500e-1
1.540e+1, -4.606e-1
1.550e+1, -4.708e-1
1.560e+1, -4.805e-1
1.570e+1, -4.899e-1
1.580e+1, -4.990e-1
1.590e+1, -5.078e-1
1.600e+1, -5.162e-1
1.610e+1, -5.244e-1
1.620e+1, -5.324e-1
1.630e+1, -5.402e-1
1.640e+1, -5.478e-1
1.650e+1, -5.552e-1
1.660e+1, -5.624e-1
1.670e+1, -5.695e-1
1.680e+1, -5.764e-1
1.690e+1, -5.832e-1
1.700e+1, -5.898e-1
1.710e+1, -5.963e-1
1.720e+1, -6.027e-1
1.730e+1, -6.090e-1
1.740e+1, -6.152e-1
1.750e+1, -6.213e-1
1.760e+1, -6.273e-1
1.770e+1, -6.333e-1
1.780e+1, -6.391e-1
1.790e+1, -6.449e-1
1.800e+1, -6.505e-1
1.810e+1, -6.561e-1
1.820e+1, -6.617e-1
1.830e+1, -6.671e-1
1.840e+1, -6.724e-1
1.850e+1, -6.777e-1
1.860e+1, -6.829e-1
1.870e+1, -6.881e-1
1.880e+1, -6.931e-1
1.890e+1, -6.981e-1
1.900e+1, -7.031e-1
1.910e+1, -7.080e-1
1.920e+1, -7.128e-1
1.930e+1, -7.176e-1
1.940e+1, -7.224e-1
1.950e+1, -7.271e-1
1.960e+1, -7.318e-1
1.970e+1, -7.365e-1
1.980e+1, -7.412e-1
1.990e+1, -7.458e-1
2.000e+1, -7.505e-1
2.010e+1, -7.551e-1
2.020e+1, -7.597e-1
2.030e+1, -7.643e-1
2.040e+1, -7.689e-1
2.050e+1, -7.734e-1
2.060e+1, -7.780e-1
2.070e+1, -7.825e-1
2.080e+1, -7.870e-1
2.090e+1, -7.915e-1
2.100e+1, -7.960e-1
2.110e+1, -8.005e-1
2.120e+1, -8.050e-1
2.130e+1, -8.094e-1
2.140e+1, -8.138e-1
2.150e+1, -8.182e-1
2.160e+1, -8.227e-1
2.170e+1, -8.270e-1
2.180e+1, -8.314e-1
2.190e+1, -8.357e-1
2.200e+1, -8.401e-1
2.210e+1, -8.444e-1
2.220e+1, -8.487e-1
2.230e+1, -8.529e-1
2.240e+1, -8.572e-1
2.250e+1, -8.614e-1
2.260e+1, -8.656e-1
2.270e+1, -8.698e-1
2.280e+1, -8.739e-1
2.290e+1, -8.780e-1
2.300e+1, -8.821e-1
2.310e+1, -8.862e-1
2.320e+1, -8.903e-1
2.330e+1, -8.943e-1
2.340e+1, -8.983e-1
2.350e+1, -7.498e-1
2.360e+1, -6.873e-1
2.370e+1, -6.504e-1
2.380e+1, -6.218e-1
2.390e+1, -5.980e-1
2.400e+1, -5.772e-1
2.410e+1, -5.587e-1
2.420e+1, -5.417e-1
2.430e+1, -5.260e-1
2.440e+1, -5.113e-1
2.450e+1, -4.981e-1
2.460e+1, -4.855e-1
2.470e+1, -4.730e-1
2.480e+1, -4.615e-1
2.490e+1, -4.507e-1
2.500e+1, -4.404e-1
2.510e+1, -4.302e-1
2.520e+1, -4.204e-1
2.530e+1, -4.109e-1
2.540e+1, -4.017e-1
2.550e+1, -3.927e-1
2.560e+1, -3.840e-1
2.570e+1, -3.755e-1
2.580e+1, -3.671e-1
2.590e+1, -3.590e-1
2.600e+1, -3.510e-1
2.610e+1, -3.432e-1
2.620e+1, -3.355e-1
2.630e+1, -3.279e-1
2.640e+1, -3.204e-1
2.650e+1, -3.131e-1
2.660e+1, -3.059e-1
2.670e+1, -2.987e-1
2.680e+1, -2.916e-1
2.690e+1, -2.846e-1
2.700e+1, -2.777e-1
2.710e+1, -2.708e-1
2.720e+1, -2.639e-1
2.730e+1, -2.571e-1
2.740e+1, -2.503e-1
2.750e+1, -2.436e-1
2.760e+1, -2.369e-1
2.770e+1, -2.303e-1
2.780e+1, -2.238e-1
2.790e+1, -2.172e-1
2.800e+1, -2.108e-1
2.810e+1, -2.043e-1
2.820e+1, -1.979e-1
2.830e+1, -1.915e-1
2.840e+1, -1.852e-1
2.850e+1, -1.789e-1
2.860e+1, -1.726e-1
2.870e+1, -1.664e-1
2.880e+1, -1.602e-1
2.890e+1, -1.541e-1
2.900e+1, -1.479e-1
2.910e+1, -1.418e-1
2.920e+1, -1.358e-1
2.930e+1, -1.298e-1
2.940e+1, -1.238e-1
2.950e+1, -1.178e-1
