Jan. 21, 2018   14:18:41
Cyclic Voltammetry
File: c:\users\lingd\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.9
High E (V) = 0.1
Low E (V) = -0.9
Init P/N = P
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-0.900, -2.114e-2
-0.899, -2.055e-2
-0.898, -2.000e-2
-0.897, -1.951e-2
-0.896, -1.905e-2
-0.895, -1.862e-2
-0.894, -1.819e-2
-0.893, -1.779e-2
-0.892, -1.739e-2
-0.891, -1.705e-2
-0.890, -1.668e-2
-0.889, -1.634e-2
-0.888, -1.597e-2
-0.887, -1.563e-2
-0.886, -1.529e-2
-0.885, -1.499e-2
-0.884, -1.468e-2
-0.883, -1.437e-2
-0.882, -1.406e-2
-0.881, -1.379e-2
-0.880, -1.348e-2
-0.879, -1.320e-2
-0.878, -1.290e-2
-0.877, -1.262e-2
-0.876, -1.234e-2
-0.875, -1.207e-2
-0.874, -1.182e-2
-0.873, -1.154e-2
-0.872, -1.130e-2
-0.871, -1.102e-2
-0.870, -1.080e-2
-0.869, -1.053e-2
-0.868, -1.028e-2
-0.867, -1.004e-2
-0.866, -9.790e-3
-0.865, -9.544e-3
-0.864, -9.298e-3
-0.863, -9.083e-3
-0.862, -8.837e-3
-0.861, -8.590e-3
-0.860, -8.375e-3
-0.859, -8.160e-3
-0.858, -7.914e-3
-0.857, -7.699e-3
-0.856, -7.453e-3
-0.855, -7.237e-3
-0.854, -7.022e-3
-0.853, -6.807e-3
-0.852, -6.592e-3
-0.851, -6.376e-3
-0.850, -6.161e-3
-0.849, -5.946e-3
-0.848, -5.761e-3
-0.847, -5.546e-3
-0.846, -5.331e-3
-0.845, -5.115e-3
-0.844, -4.900e-3
-0.843, -4.716e-3
-0.842, -4.531e-3
-0.841, -4.316e-3
-0.840, -4.131e-3
-0.839, -3.916e-3
-0.838, -3.731e-3
-0.837, -3.516e-3
-0.836, -3.332e-3
-0.835, -3.147e-3
-0.834, -2.932e-3
-0.833, -2.747e-3
-0.832, -2.563e-3
-0.831, -2.378e-3
-0.830, -2.194e-3
-0.829, -2.009e-3
-0.828, -1.825e-3
-0.827, -1.640e-3
-0.826, -1.456e-3
-0.825, -1.271e-3
-0.824, -1.087e-3
-0.823, -9.022e-4
-0.822, -7.177e-4
-0.821, -5.332e-4
-0.820, -3.487e-4
-0.819, -1.949e-4
-0.818, -1.037e-5
-0.817, 1.741e-4
-0.816, 3.587e-4
-0.815, 5.432e-4
-0.814, 6.969e-4
-0.813, 8.815e-4
-0.812, 1.066e-3
-0.811, 1.220e-3
-0.810, 1.404e-3
-0.809, 1.558e-3
-0.808, 1.743e-3
-0.807, 1.896e-3
-0.806, 2.050e-3
-0.805, 2.235e-3
-0.804, 2.419e-3
-0.803, 2.573e-3
-0.802, 2.757e-3
-0.801, 2.911e-3
-0.800, 3.065e-3
-0.799, 3.219e-3
