Jan. 21, 2018   14:12:22
Cyclic Voltammetry
File: c:\users\lingd\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.9
High E (V) = 0.1
Low E (V) = -0.9
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-0.900, -1.976e-2
-0.899, -1.928e-2
-0.898, -1.887e-2
-0.897, -1.851e-2
-0.896, -1.818e-2
-0.895, -1.786e-2
-0.894, -1.757e-2
-0.893, -1.729e-2
-0.892, -1.702e-2
-0.891, -1.676e-2
-0.890, -1.650e-2
-0.889, -1.626e-2
-0.888, -1.602e-2
-0.887, -1.578e-2
-0.886, -1.555e-2
-0.885, -1.533e-2
-0.884, -1.511e-2
-0.883, -1.491e-2
-0.882, -1.470e-2
-0.881, -1.449e-2
-0.880, -1.429e-2
-0.879, -1.409e-2
-0.878, -1.390e-2
-0.877, -1.371e-2
-0.876, -1.352e-2
-0.875, -1.334e-2
-0.874, -1.316e-2
-0.873, -1.297e-2
-0.872, -1.280e-2
-0.871, -1.263e-2
-0.870, -1.246e-2
-0.869, -1.228e-2
-0.868, -1.211e-2
-0.867, -1.194e-2
-0.866, -1.179e-2
-0.865, -1.162e-2
-0.864, -1.147e-2
-0.863, -1.130e-2
-0.862, -1.115e-2
-0.861, -1.099e-2
-0.860, -1.083e-2
-0.859, -1.068e-2
-0.858, -1.053e-2
-0.857, -1.038e-2
-0.856, -1.023e-2
-0.855, -1.008e-2
-0.854, -9.936e-3
-0.853, -9.796e-3
-0.852, -9.649e-3
-0.851, -9.510e-3
-0.850, -9.365e-3
-0.849, -9.220e-3
-0.848, -9.085e-3
-0.847, -8.942e-3
-0.846, -8.806e-3
-0.845, -8.675e-3
-0.844, -8.542e-3
-0.843, -8.411e-3
-0.842, -8.274e-3
-0.841, -8.138e-3
-0.840, -8.007e-3
-0.839, -7.868e-3
-0.838, -7.738e-3
-0.837, -7.608e-3
-0.836, -7.477e-3
-0.835, -7.355e-3
-0.834, -7.225e-3
-0.833, -7.099e-3
-0.832, -6.984e-3
-0.831, -6.855e-3
-0.830, -6.733e-3
-0.829, -6.610e-3
-0.828, -6.485e-3
-0.827, -6.368e-3
-0.826, -6.245e-3
-0.825, -6.121e-3
-0.824, -6.006e-3
-0.823, -5.890e-3
-0.822, -5.775e-3
-0.821, -5.661e-3
-0.820, -5.542e-3
-0.819, -5.437e-3
-0.818, -5.318e-3
-0.817, -5.196e-3
-0.816, -5.086e-3
-0.815, -4.970e-3
-0.814, -4.856e-3
-0.813, -4.746e-3
-0.812, -4.631e-3
-0.811, -4.520e-3
-0.810, -4.409e-3
-0.809, -4.297e-3
-0.808, -4.191e-3
-0.807, -4.080e-3
-0.806, -3.979e-3
-0.805, -3.865e-3
-0.804, -3.754e-3
-0.803, -3.653e-3
-0.802, -3.545e-3
-0.801, -3.432e-3
-0.800, -3.333e-3
-0.799, -3.222e-3
