Jan. 23, 2018   16:47:16
Chronopotentiometry
File: c:\users\lingd\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.1296
Anodic Current (A) = 0.1296
Init P/N = N
Data Storage Interval (s) = 0.01
High E Limit (V) = 0.9
Low E Limit (V) = -0.1
Cathodic Time (s) = 10
Anodic Time (s) = 10
Current Switching Polarity = Potential
Segment = 5

Time/sec, Potential/V

1.000e-2, -9.514e-2
2.000e-2, 2.415e-1
3.000e-2, 2.532e-1
4.000e-2, 2.627e-1
5.000e-2, 2.710e-1
6.000e-2, 2.785e-1
7.000e-2, 2.854e-1
8.000e-2, 2.918e-1
9.000e-2, 2.979e-1
1.000e-1, 3.039e-1
1.100e-1, 3.097e-1
1.200e-1, 3.149e-1
1.300e-1, 3.200e-1
1.400e-1, 3.250e-1
1.500e-1, 3.300e-1
1.600e-1, 3.344e-1
1.700e-1, 3.387e-1
1.800e-1, 3.430e-1
1.900e-1, 3.472e-1
2.000e-1, 3.514e-1
2.100e-1, 3.554e-1
2.200e-1, 3.594e-1
2.300e-1, 3.633e-1
2.400e-1, 3.671e-1
2.500e-1, 3.708e-1
2.600e-1, 3.745e-1
2.700e-1, 3.781e-1
2.800e-1, 3.817e-1
2.900e-1, 3.852e-1
3.000e-1, 3.887e-1
3.100e-1, 3.921e-1
3.200e-1, 3.955e-1
3.300e-1, 3.988e-1
3.400e-1, 4.021e-1
3.500e-1, 4.053e-1
3.600e-1, 4.085e-1
3.700e-1, 4.117e-1
3.800e-1, 4.148e-1
3.900e-1, 4.179e-1
4.000e-1, 4.210e-1
4.100e-1, 4.240e-1
4.200e-1, 4.270e-1
4.300e-1, 4.300e-1
4.400e-1, 4.330e-1
4.500e-1, 4.359e-1
4.600e-1, 4.388e-1
4.700e-1, 4.416e-1
4.800e-1, 4.445e-1
4.900e-1, 4.473e-1
5.000e-1, 4.501e-1
5.100e-1, 4.529e-1
5.200e-1, 4.557e-1
5.300e-1, 4.584e-1
5.400e-1, 4.612e-1
5.500e-1, 4.639e-1
5.600e-1, 4.666e-1
5.700e-1, 4.692e-1
5.800e-1, 4.719e-1
5.900e-1, 4.745e-1
6.000e-1, 4.772e-1
6.100e-1, 4.798e-1
6.200e-1, 4.824e-1
6.300e-1, 4.849e-1
6.400e-1, 4.875e-1
6.500e-1, 4.901e-1
6.600e-1, 4.926e-1
6.700e-1, 4.951e-1
6.800e-1, 4.976e-1
6.900e-1, 5.001e-1
7.000e-1, 5.026e-1
7.100e-1, 5.051e-1
7.200e-1, 5.076e-1
7.300e-1, 5.100e-1
7.400e-1, 5.125e-1
7.500e-1, 5.149e-1
7.600e-1, 5.173e-1
7.700e-1, 5.197e-1
7.800e-1, 5.221e-1
7.900e-1, 5.245e-1
8.000e-1, 5.269e-1
8.100e-1, 5.292e-1
8.200e-1, 5.316e-1
8.300e-1, 5.339e-1
8.400e-1, 5.363e-1
8.500e-1, 5.386e-1
8.600e-1, 5.409e-1
8.700e-1, 5.432e-1
8.800e-1, 5.455e-1
8.900e-1, 5.478e-1
9.000e-1, 5.501e-1
9.100e-1, 5.524e-1
9.200e-1, 5.546e-1
9.300e-1, 5.569e-1
9.400e-1, 5.592e-1
9.500e-1, 5.614e-1
9.600e-1, 5.637e-1
9.700e-1, 5.659e-1
9.800e-1, 5.681e-1
9.900e-1, 5.704e-1
1.000e+0, 5.726e-1
1.010e+0, 5.748e-1
1.020e+0, 5.770e-1
1.030e+0, 5.792e-1
1.040e+0, 5.814e-1
1.050e+0, 5.836e-1
1.060e+0, 5.858e-1
1.070e+0, 5.880e-1
1.080e+0, 5.902e-1
1.090e+0, 5.924e-1
1.100e+0, 5.946e-1
1.110e+0, 5.968e-1
1.120e+0, 5.990e-1
1.130e+0, 6.012e-1
1.140e+0, 6.034e-1
